==================================================================
fastsimcoal started on 26/06/2025 at 16:01:54

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
458	1	data unknown	109.985	0	0
459	1	data unknown	348.656	0	0
460	1	data unknown	2892.2	0	0
461	1	data unknown	590.141	0	0
462	1	data unknown	669.678	0	0
463	1	data unknown	717.178	0	0
464	1	data unknown	1278.67	0	0
465	1	data unknown	1179.41	0	0
466	1	data unknown	4371.24	0	0
467	1	data unknown	764.565	0	0
468	1	data unknown	636.009	0	0
469	1	data unknown	717.293	0	0
470	1	data unknown	1096.23	0	0
471	1	data unknown	260.841	0	0
472	1	data unknown	24.91	0	0
473	1	data unknown	89.5004	0	0
474	1	data unknown	3637.12	0	0
475	1	data unknown	1303.41	0	0
476	1	data unknown	312.286	0	0
477	1	data unknown	421.86	0	0
478	1	data unknown	2059.07	0	0
479	1	data unknown	543.663	0	0
480	1	data unknown	3496.51	0	0
481	1	data unknown	170.28	0	0
482	1	data unknown	2022.86	0	0
483	1	data unknown	796.661	0	0
484	1	data unknown	1620.74	0	0
485	1	data unknown	91.9266	0	0
486	1	data unknown	65.6586	0	0
487	1	data unknown	3096.71	0	0
488	1	data unknown	407.219	0	0
489	1	data unknown	787.773	0	0
490	1	data unknown	560.593	0	0
491	1	data unknown	1650.14	0	0
492	1	data unknown	3862.18	0	0
493	1	data unknown	523.293	0	0
494	1	data unknown	1495.81	0	0
495	1	data unknown	330.727	0	0
496	1	data unknown	1169.46	0	0
497	1	data unknown	894.386	0	0
498	1	data unknown	2666.17	0	0
499	1	data unknown	2593.5	0	0
500	1	data unknown	1285.52	0	0
501	1	data unknown	2187.36	0	0
502	1	data unknown	1939.77	0	0
503	1	data unknown	1345.93	0	0
504	1	data unknown	3247.58	0	0
505	1	data unknown	9095.92	0	0
506	1	data unknown	56.3431	0	0
507	1	data unknown	170.769	0	0
508	1	data unknown	4199.97	0	0
509	1	data unknown	3351.45	0	0
510	1	data unknown	957.336	0	0
511	1	data unknown	69.0994	0	0
512	1	data unknown	9828.64	0	0
513	1	data unknown	1553.12	0	0
514	1	data unknown	208.221	0	0
515	1	data unknown	3142.75	0	0
516	1	data unknown	2148.97	0	0
517	1	data unknown	5321.1	0	0
518	1	data unknown	31.0287	0	0
519	1	data unknown	475.082	0	0
520	1	data unknown	193.909	0	0
521	1	data unknown	614.197	0	0
522	1	data unknown	1226.94	0	0
523	1	data unknown	4341.6	0	0
524	1	data unknown	802.315	0	0
525	1	data unknown	52.6581	0	0
526	1	data unknown	290.779	0	0
527	1	data unknown	3199.62	0	0
528	1	data unknown	2027.5	0	0
529	1	data unknown	2323.72	0	0
530	1	data unknown	1248.13	0	0
531	1	data unknown	575.241	0	0
532	1	data unknown	321.075	0	0
533	1	data unknown	3350.5	0	0
534	1	data unknown	1644.1	0	0
535	1	data unknown	1974.49	0	0
536	1	data unknown	1608.9	0	0
537	1	data unknown	1630.65	0	0
538	1	data unknown	3694.38	0	0
539	1	data unknown	3222.42	0	0
540	1	data unknown	3359.74	0	0
541	1	data unknown	792.221	0	0
542	1	data unknown	3471.69	0	0
543	1	data unknown	2877.01	0	0
544	1	data unknown	67.4973	0	0
545	1	data unknown	329.018	0	0
546	1	data unknown	68.0008	0	0
547	1	data unknown	64.5676	0	0
548	1	data unknown	2438.03	0	0
549	1	data unknown	5865.07	0	0
550	1	data unknown	2349.97	0	0
551	1	data unknown	3918.9	0	0
552	1	data unknown	895.416	0	0
553	1	data unknown	85.7086	0	0
554	1	data unknown	6187.21	0	0
555	1	data unknown	3515.5	0	0
556	1	data unknown	1175.8	0	0
557	1	data unknown	2490.84	0	0
558	1	data unknown	690.292	0	0
559	1	data unknown	590.721	0	0
560	1	data unknown	836.578	0	0
561	1	data unknown	4947.83	0	0
562	1	data unknown	2380.27	0	0
563	1	data unknown	7804.4	0	0
564	1	data unknown	2018.54	0	0
565	1	data unknown	2375.92	0	0
566	1	data unknown	2336.04	0	0
567	1	data unknown	6405.04	0	0
568	1	data unknown	321.671	0	0
569	1	data unknown	2173.47	0	0
570	1	data unknown	2059.56	0	0
571	1	data unknown	1775.56	0	0
572	1	data unknown	1772.19	0	0
573	1	data unknown	4195.14	0	0
574	1	data unknown	4908.05	0	0
575	1	data unknown	4605.08	0	0
576	1	data unknown	951.637	0	0
577	1	data unknown	1407.47	0	0
578	1	data unknown	3108.99	0	0
579	1	data unknown	73.4329	0	0
580	1	data unknown	4827.55	0	0
581	1	data unknown	68.4891	0	0
582	1	data unknown	8741	0	0
583	1	data unknown	1116.87	0	0
584	1	data unknown	6599.52	0	0
585	1	data unknown	47.9202	0	0
586	1	data unknown	1378.36	0	0
587	1	data unknown	2847.11	0	0
588	1	data unknown	159.592	0	0
589	1	data unknown	628.769	0	0
590	1	data unknown	424.484	0	0
591	1	data unknown	1962.43	0	0
592	1	data unknown	159.866	0	0
593	1	data unknown	137.764	0	0
594	1	data unknown	872.032	0	0
595	1	data unknown	988.075	0	0
596	1	data unknown	5604.31	0	0
597	1	data unknown	3213	0	0
598	1	data unknown	370.56	0	0
599	1	data unknown	2624.45	0	0
600	1	data unknown	666.985	0	0
601	1	data unknown	296.638	0	0
602	1	data unknown	1653.31	0	0
603	1	data unknown	382.553	0	0
604	1	data unknown	84.6481	0	0
605	1	data unknown	519.615	0	0
606	1	data unknown	331.291	0	0
607	1	data unknown	5643.14	0	0
608	1	data unknown	5604.26	0	0
609	1	data unknown	185.211	0	0
610	1	data unknown	831.345	0	0
611	1	data unknown	26.1917	0	0
612	1	data unknown	15.5182	0	0
613	1	data unknown	1880.51	0	0
614	1	data unknown	1059.36	0	0
615	1	data unknown	5038.17	0	0
616	1	data unknown	2368.48	0	0
617	1	data unknown	2958.51	0	0
618	1	data unknown	607.468	0	0
619	1	data unknown	5165.76	0	0
620	1	data unknown	723.534	0	0
621	1	data unknown	4879.73	0	0
622	1	data unknown	3266.53	0	0
623	1	data unknown	1645.39	0	0
624	1	data unknown	1320.71	0	0
625	1	data unknown	4528.33	0	0
626	1	data unknown	5158.2	0	0
627	1	data unknown	1664.79	0	0
628	1	data unknown	2781.45	0	0
629	1	data unknown	807.617	0	0
630	1	data unknown	1180	0	0
631	1	data unknown	109.871	0	0
632	1	data unknown	344.688	0	0
633	1	data unknown	321.609	0	0
634	1	data unknown	9630.36	0	0
635	1	data unknown	475.258	0	0
636	1	data unknown	4311.52	0	0
637	1	data unknown	4060.56	0	0
638	1	data unknown	149.551	0	0
639	1	data unknown	4655.4	0	0
640	1	data unknown	1204	0	0
641	1	data unknown	3349.82	0	0
642	1	data unknown	1317.54	0	0
643	1	data unknown	4519.36	0	0
644	1	data unknown	5096.35	0	0
645	1	data unknown	2368.29	0	0
646	1	data unknown	1727.42	0	0
647	1	data unknown	79.8569	0	0
648	1	data unknown	126.938	0	0
649	1	data unknown	1825.69	0	0
650	1	data unknown	6932.34	0	0
651	1	data unknown	1994.54	0	0
652	1	data unknown	2190.64	0	0
653	1	data unknown	9582.84	0	0
654	1	data unknown	447.22	0	0
655	1	data unknown	3158.07	0	0
656	1	data unknown	3289.19	0	0
657	1	data unknown	121.902	0	0
658	1	data unknown	2333.11	0	0
659	1	data unknown	3203	0	0
660	1	data unknown	1691.23	0	0
661	1	data unknown	2161.82	0	0
662	1	data unknown	5309.71	0	0
663	1	data unknown	385.201	0	0
664	1	data unknown	380.913	0	0
665	1	data unknown	508.102	0	0
666	1	data unknown	239.113	0	0
667	1	data unknown	5653.5	0	0
668	1	data unknown	3993.95	0	0
669	1	data unknown	1788.56	0	0
670	1	data unknown	2346.67	0	0
671	1	data unknown	49.7055	0	0
672	1	data unknown	247.795	0	0
673	1	data unknown	334.526	0	0
674	1	data unknown	19.8975	0	0
675	1	data unknown	3035.77	0	0
676	1	data unknown	3245.21	0	0
677	1	data unknown	4458.27	0	0
678	1	data unknown	255.913	0	0
679	1	data unknown	168.831	0	0
680	1	data unknown	2326.16	0	0
681	1	data unknown	3102.09	0	0
682	1	data unknown	2915.65	0	0
683	1	data unknown	1809.39	0	0
684	1	data unknown	464.584	0	0
685	1	data unknown	662.453	0	0
686	1	data unknown	3636.76	0	0
687	1	data unknown	841.37	0	0
688	1	data unknown	41.7175	0	0
689	1	data unknown	2900.54	0	0
690	1	data unknown	1992.01	0	0
691	1	data unknown	1650.79	0	0
692	1	data unknown	1302.62	0	0
693	1	data unknown	3174.18	0	0
694	1	data unknown	2678.23	0	0
695	1	data unknown	816.208	0	0
696	1	data unknown	544.395	0	0
697	1	data unknown	3505.26	0	0
698	1	data unknown	1997.1	0	0
699	1	data unknown	142.189	0	0
700	1	data unknown	261.841	0	0
701	1	data unknown	3475.1	0	0
702	1	data unknown	322.334	0	0
703	1	data unknown	27.0157	0	0
704	1	data unknown	1029.05	0	0
705	1	data unknown	4230.03	0	0
706	1	data unknown	937.569	0	0
707	1	data unknown	34.1949	0	0
708	1	data unknown	758.995	0	0
709	1	data unknown	537.277	0	0
